タイトル,キーワード,総合ポイント,文字数,読了時間（分）,URL
"とんでもスキルで異世界放浪メシ
","ほのぼの 異世界 ネットスーパー 勇者召喚 巻き込まれ ペットが最強 料理 のほほん 旅 R15 残酷な描写あり 異世界転移
",920991,2181203,4363,https://ncode.syosetu.com/n2710db/
転生したらスライムだった件,"R15 残酷な描写あり 異世界転生 スライム チート
",911907,2043550,4088,https://ncode.syosetu.com/n6316bn/
無職転生　- 異世界行ったら本気だす -,"R15 残酷な描写あり 異世界転生
",883894,2830123,5661,https://ncode.syosetu.com/n9669bk/
"魔導具師ダリヤはうつむかない
","女主人公 ハッピーエンド 婚約破棄 魔導具 家電愛 魔剣 生産 物作り 料理 酒 R15 残酷な描写あり 異世界転生
",747513,2395795,4792,https://ncode.syosetu.com/n7787eq/
ありふれた職業で世界最強,"ハーレム そのうち主人公最強 豹変する主人公 鬼畜 ご都合主義 異世界召喚 オリジナル兵器 テンプレ要素多数 R15 残酷な描写あり 異世界転移
",712091,6193555,12388,https://ncode.syosetu.com/n8611bv/
"ヘルモード　～やり込み好きのゲーマーは廃設定の異世界で無双する～
","男主人公 学園 チート ダンジョン 身分差 サラリーマン 召喚士 剣と魔法 レベル ステータス 成りあがり 無双 いずれ主人公最強 勇者と魔王 ESN大賞２ R15 残酷な描写あり 異世界転生
",698544,3073776,6148,https://ncode.syosetu.com/n3669fw/
薬屋のひとりごと,"中華風 推理 恋愛 後宮 フラグクラッシャー R15 残酷な描写あり
",694079,1414908,2830,https://ncode.syosetu.com/n9636x/
蜘蛛ですが、なにか？,"R15 残酷な描写あり 異世界転生 ファンタジー 異世界 転生 蜘蛛 女主人公 勇者 魔王 チート ある意味最強主人公 オリハルコンの精神力
",691582,1513225,3027,https://ncode.syosetu.com/n7975cr/
"Ｒｅ：ゼロから始める異世界生活
","シリアス ほのぼの 異世界 ファンタジー 銀髪ヒロイン 感想乞食 バトル 時間遡行 死に戻り R15 残酷な描写あり 異世界転移
",682685,8473606,16948,https://ncode.syosetu.com/n2267be/
"【アニメ２期放送中！】陰の実力者になりたくて！【web版】
","R15 残酷な描写あり 異世界転生 主人公最強 組織最強 コメディ 勘違い サイコパス アニメ化 書籍化
",674420,471508,944,https://ncode.syosetu.com/n0611em/
"本好きの下剋上　～司書になるためには手段を選んでいられません～
","R15 異世界転生 ファンタジー 異世界 転生 女主人公
",659684,5681540,11364,https://ncode.syosetu.com/n4830bu/
聖女の魔力は万能です,"チート 恋愛 ファンタジー 聖女 女性視点 ラブコメ（笑） 切り替えは早い らぶらぶ？ になるといいな スルー力 壁追加しておきますね 残酷な描写あり 異世界転移
",657493,695598,1392,https://ncode.syosetu.com/n8139dg/
お気楽領主の楽しい領地防衛  〜生産系魔術で名もなき村を最強の城塞都市に〜,"ギャグ シリアス 男主人公 西洋 中世 チート 内政 ダンジョン オリジナル戦記 最強 成り上がり 貴族 錬金術 奴隷 異世界転生
",644492,841779,1684,https://ncode.syosetu.com/n8733gf/
"シャングリラ・フロンティア〜クソゲーハンター、神ゲーに挑まんとす〜
","ラブコメ 近未来 電脳世界 VRMMO 神ゲー クソゲー バグ 主人公最強？ ガチエンジョイ勢 スキル制 縛りプレイ R15 残酷な描写あり
",640199,2981693,5964,https://ncode.syosetu.com/n6169dz/
異世界のんびり農家,"ほのぼの 男主人公 西洋 中世 職業もの ハーレム チート 内政 日常 農業 異種族 ドラゴン R15 異世界転移
",622404,2586480,5173,https://ncode.syosetu.com/n3289ds/
"デスマーチからはじまる異世界狂想曲（ web版 ）
","ほのぼの ハーレム チート 異世界 ファンタジー デスマーチ 観光 幼女 迷宮 エルフ 奴隷 旅 R15 残酷な描写あり 異世界転生 異世界転移
",607302,3520267,7041,https://ncode.syosetu.com/n9902bn/
